-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,46,46,46,44,44,44,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,44,44,46,46,46,46,46,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,44,44,44,46,46,46,46,45,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,44,44,44,46,46,45,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,45,44,44,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,44,45,-1,45,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,44,44,46,-1,45,45,-1,-1
-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,44,45,45,-1,-1,-1,-1,-1,-1
44,45,45,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,45,45,45,44,46,46,-1,-1,-1,-1,-1,-1
44,44,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,45,45,44,44,46,46,-1,-1,-1,-1,-1,-1,-1
46,44,44,45,44,-1,-1,-1,-1,-1,-1,-1,-1,45,45,45,-1,46,44,44,44,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,46,44,44,44,-1,-1,-1,-1,-1,-1,-1,44,45,46,46,46,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,46,46,46,44,-1,-1,-1,-1,-1,-1,44,44,45,46,46,46,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,46,46,46,-1,-1,-1,-1,-1,-1,44,46,46,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,46,46,-1,-1,-1,-1,-1,44,44,46,46,46,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
